Contract_Account_No,Customer,House_Number,Address,Meter_Number,Datetime_PST,Meter_kWh_Total,Transformer_ID,Structure_ID,Transformer_kWh_Total
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,01Feb2024:01:00:00.02,0.05,26730028,7556,5.94
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,01Feb2024:01:59:59.97,0.05,26730028,7556,5.82
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,01Feb2024:03:00:00.00,0.05,26730028,7556,5.31
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,01Feb2024:04:00:00.02,0.05,26730028,7556,5.67
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,01Feb2024:04:59:59.97,0.05,26730028,7556,5.45
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,01Feb2024:06:00:00.00,0.04,26730028,7556,7.21
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,01Feb2024:07:00:00.02,0.05,26730028,7556,9.76
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,01Feb2024:07:59:59.97,0.05,26730028,7556,12.03
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,01Feb2024:09:00:00.00,0.05,26730028,7556,9.39
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,01Feb2024:10:00:00.02,0.05,26730028,7556,9.18
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,01Feb2024:10:59:59.97,0.01,26730028,7556,9.53
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,01Feb2024:12:00:00.00,0,26730028,7556,7.74
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,01Feb2024:13:00:00.02,0,26730028,7556,9
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,01Feb2024:13:59:59.97,0,26730028,7556,10.89
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,01Feb2024:15:00:00.00,0,26730028,7556,11.16
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,01Feb2024:16:00:00.02,0,26730028,7556,11.5
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,01Feb2024:16:59:59.97,0.02,26730028,7556,11.74
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,01Feb2024:18:00:00.00,0.05,26730028,7556,18.08
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,01Feb2024:19:00:00.02,0.05,26730028,7556,14.01
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,01Feb2024:19:59:59.97,0.05,26730028,7556,10.69
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,01Feb2024:21:00:00.00,0.04,26730028,7556,9.94
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,01Feb2024:22:00:00.02,0.05,26730028,7556,9.2
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,01Feb2024:22:59:59.97,0.05,26730028,7556,8.6
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,02Feb2024:00:00:00.00,0.05,26730028,7556,6.71
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,02Feb2024:01:00:00.02,0.05,26730028,7556,6.32
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,02Feb2024:01:59:59.97,0.05,26730028,7556,6.22
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,02Feb2024:03:00:00.00,0.05,26730028,7556,6
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,02Feb2024:04:00:00.02,0.04,26730028,7556,5.76
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,02Feb2024:04:59:59.97,0.05,26730028,7556,5.44
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,02Feb2024:06:00:00.00,0.05,26730028,7556,8.17
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,02Feb2024:07:00:00.02,0.05,26730028,7556,8.04
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,02Feb2024:07:59:59.97,0.04,26730028,7556,10.9
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,02Feb2024:09:00:00.00,0.05,26730028,7556,12.96
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,02Feb2024:10:00:00.02,0.05,26730028,7556,10.47
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,02Feb2024:10:59:59.97,0.03,26730028,7556,11.29
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,02Feb2024:12:00:00.00,0,26730028,7556,14.75
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,02Feb2024:13:00:00.02,0,26730028,7556,11.47
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,02Feb2024:13:59:59.97,0,26730028,7556,10.13
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,02Feb2024:15:00:00.00,0,26730028,7556,10.9
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,02Feb2024:16:00:00.02,0.04,26730028,7556,10.32
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,02Feb2024:16:59:59.97,0.05,26730028,7556,14.37
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,02Feb2024:18:00:00.00,0.05,26730028,7556,17.99
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,02Feb2024:19:00:00.02,0.05,26730028,7556,12.23
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,02Feb2024:19:59:59.97,0.04,26730028,7556,15.89
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,02Feb2024:21:00:00.00,0.05,26730028,7556,17.93
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,02Feb2024:22:00:00.02,0.04,26730028,7556,12.85
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,02Feb2024:22:59:59.97,0.05,26730028,7556,8.15
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,03Feb2024:00:00:00.00,0.05,26730028,7556,7.31
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,03Feb2024:01:00:00.02,0.05,26730028,7556,6.69
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,03Feb2024:01:59:59.97,0.05,26730028,7556,7.19
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,03Feb2024:03:00:00.00,0.05,26730028,7556,6.54
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,03Feb2024:04:00:00.02,0.05,26730028,7556,5.98
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,03Feb2024:04:59:59.97,0.05,26730028,7556,6.07
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,03Feb2024:06:00:00.00,0.04,26730028,7556,8.21
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,03Feb2024:07:00:00.02,0.05,26730028,7556,10.21
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,03Feb2024:07:59:59.97,0.05,26730028,7556,11.12
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,03Feb2024:09:00:00.00,0.05,26730028,7556,10.13
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,03Feb2024:10:00:00.02,0.05,26730028,7556,11.95
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,03Feb2024:10:59:59.97,0.02,26730028,7556,10.4
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,03Feb2024:12:00:00.00,0,26730028,7556,11.03
11873615052,STRATA PLAN NW 2040 THE OWNERS,9045,MOORSIDE PL,4156002,03Feb2024:13:00:00.02,0,26730028,7556,11.15
